,Date,USD (PM)
129,1/19/17,1196.05
130,1/20/17,1200.55
131,1/21/17,1200.55
132,1/22/17,1200.55
133,1/23/17,1212.85
134,1/24/17,1216.8
135,1/25/17,1195.0
136,1/26/17,1189.7
137,1/27/17,1184.85
138,1/28/17,1184.85
139,1/29/17,1184.85
140,1/30/17,1192.8
141,1/31/17,1212.8
142,2/1/17,1203.65
143,2/2/17,1221.95
144,2/3/17,1215.2
145,2/4/17,1215.2
146,2/5/17,1215.2
147,2/6/17,1226.75
148,2/7/17,1231.0
149,2/8/17,1242.1
150,2/9/17,1236.8
151,2/10/17,1228.3
152,2/11/17,1228.3
153,2/12/17,1228.3
154,2/13/17,1222.25
155,2/14/17,1230.75
156,2/15/17,1224.4
157,2/16/17,1240.55
158,2/17/17,1241.95
159,2/18/17,1241.95
160,2/19/17,1241.95
161,2/20/17,1237.3
162,2/21/17,1233.2
163,2/22/17,1236.65
164,2/23/17,1247.9
165,2/24/17,1253.65
166,2/25/17,1253.65
167,2/26/17,1253.65
168,2/27/17,1257.2
169,2/28/17,1255.6
170,3/1/17,1240.4
171,3/2/17,1238.1
172,3/3/17,1226.5
173,3/4/17,1226.5
174,3/5/17,1226.5
175,3/6/17,1230.95
176,3/7/17,1216.65
177,3/8/17,1209.2
178,3/9/17,1206.55
179,3/10/17,1202.65
180,3/11/17,1202.65
181,3/12/17,1202.65
182,3/13/17,1204.2
183,3/14/17,1204.6
184,3/15/17,1198.8
185,3/16/17,1229.35
186,3/17/17,1229.6
187,3/18/17,1229.6
188,3/19/17,1229.6
189,3/20/17,1232.4
190,3/21/17,1241.6
191,3/22/17,1249.05
192,3/23/17,1247.5
193,3/24/17,1247.5
194,3/25/17,1247.5
195,3/26/17,1247.5
196,3/27/17,1257.55
197,3/28/17,1257.25
198,3/29/17,1251.1
199,3/30/17,1248.8
200,3/31/17,1244.85
201,4/1/17,1244.85
202,4/2/17,1244.85
203,4/3/17,1247.25
204,4/4/17,1257.65
205,4/5/17,1245.8
206,4/6/17,1252.5
207,4/7/17,1266.45
208,4/8/17,1266.45
209,4/9/17,1266.45
210,4/10/17,1250.05
211,4/11/17,1252.9
212,4/12/17,1274.3
213,4/13/17,1284.15
214,4/14/17,1284.15
215,4/15/17,1284.15
216,4/16/17,1284.15
217,4/17/17,1284.15
218,4/18/17,1278.95
219,4/19/17,1279.05
220,4/20/17,1282.1
221,4/21/17,1281.85
222,4/22/17,1281.85
223,4/23/17,1281.85
224,4/24/17,1269.4
225,4/25/17,1267.8
226,4/26/17,1261.85
227,4/27/17,1262.8
228,4/28/17,1266.45
229,4/29/17,1266.45
230,4/30/17,1266.45
231,5/1/17,1266.45
232,5/2/17,1255.45
233,5/3/17,1250.3
234,5/4/17,1228.45
235,5/5/17,1228.05
236,5/6/17,1228.05
237,5/7/17,1228.05
238,5/8/17,1229.8
239,5/9/17,1220.4
240,5/10/17,1222.95
241,5/11/17,1223.15
242,5/12/17,1231.25
243,5/13/17,1231.25
244,5/14/17,1231.25
245,5/15/17,1233.3
246,5/16/17,1234.2
247,5/17/17,1257.4
248,5/18/17,1255.9
249,5/19/17,1252.0
250,5/20/17,1252.0
251,5/21/17,1252.0
252,5/22/17,1258.85
253,5/23/17,1260.2
254,5/24/17,1252.55
255,5/25/17,1256.95
256,5/26/17,1265.05
257,5/27/17,1265.05
258,5/28/17,1265.05
259,5/29/17,1265.05
260,5/30/17,1262.7
261,5/31/17,1266.2
262,6/1/17,1264.85
263,6/2/17,1274.95
264,6/3/17,1274.95
265,6/4/17,1274.95
266,6/5/17,1279.95
267,6/6/17,1293.5
268,6/7/17,1291.0
269,6/8/17,1273.1
270,6/9/17,1266.55
271,6/10/17,1266.55
272,6/11/17,1266.55
273,6/12/17,1266.4
274,6/13/17,1262.0
275,6/14/17,1275.5
276,6/15/17,1254.55
277,6/16/17,1255.4
278,6/17/17,1255.4
279,6/18/17,1255.4
280,6/19/17,1248.15
281,6/20/17,1242.2
282,6/21/17,1242.5
283,6/22/17,1250.8
284,6/23/17,1255.7
285,6/24/17,1255.7
286,6/25/17,1255.7
287,6/26/17,1245.25
288,6/27/17,1249.55
289,6/28/17,1248.0
290,6/29/17,1243.5
291,6/30/17,1242.25
292,7/1/17,1242.25
293,7/2/17,1242.25
294,7/3/17,1229.25
295,7/4/17,1223.75
296,7/5/17,1220.3
297,7/6/17,1224.9
298,7/7/17,1215.65
299,7/8/17,1215.65
300,7/9/17,1215.65
301,7/10/17,1211.9
302,7/11/17,1211.05
303,7/12/17,1218.8
304,7/13/17,1218.9
305,7/14/17,1230.3
306,7/15/17,1230.3
307,7/16/17,1230.3
308,7/17/17,1234.1
309,7/18/17,1240.75
310,7/19/17,1242.15
311,7/20/17,1238.7
312,7/21/17,1248.55
313,7/22/17,1248.55
314,7/23/17,1248.55
315,7/24/17,1255.55
316,7/25/17,1254.4
317,7/26/17,1248.1
318,7/27/17,1261.1
319,7/28/17,1264.9
320,7/29/17,1264.9
321,7/30/17,1264.9
322,7/31/17,1267.55
323,8/1/17,1270.95
324,8/2/17,1269.6
325,8/3/17,1268.1
326,8/4/17,1257.7
327,8/5/17,1257.7
328,8/6/17,1257.7
329,8/7/17,1258.0
330,8/8/17,1261.8
331,8/9/17,1271.05
332,8/10/17,1284.4
333,8/11/17,1286.1
334,8/12/17,1286.1
335,8/13/17,1286.1
336,8/14/17,1282.3
337,8/15/17,1270.3
338,8/16/17,1272.75
339,8/17/17,1285.15
340,8/18/17,1295.8
341,8/19/17,1295.8
342,8/20/17,1295.8
343,8/21/17,1292.9
344,8/22/17,1284.2
345,8/23/17,1286.65
346,8/24/17,1289.0
347,8/25/17,1285.3
348,8/26/17,1285.3
349,8/27/17,1285.3
350,8/28/17,1285.3
351,8/29/17,1318.65
352,8/30/17,1308.5
353,8/31/17,1311.75
354,9/1/17,1320.4
355,9/2/17,1320.4
356,9/3/17,1320.4
357,9/4/17,1333.1
358,9/5/17,1335.55
359,9/6/17,1337.85
360,9/7/17,1343.5
361,9/8/17,1346.25
362,9/9/17,1346.25
363,9/10/17,1346.25
364,9/11/17,1334.2
365,9/12/17,1326.5
366,9/13/17,1327.55
367,9/14/17,1324.55
368,9/15/17,1322.85
369,9/16/17,1322.85
370,9/17/17,1322.85
371,9/18/17,1312.1
372,9/19/17,1309.6
373,9/20/17,1311.3
374,9/21/17,1292.1
375,9/22/17,1294.8
376,9/23/17,1294.8
377,9/24/17,1294.8
378,9/25/17,1293.3
379,9/26/17,1300.05
380,9/27/17,1282.55
381,9/28/17,1283.35
382,9/29/17,1283.1
383,9/30/17,1283.1
384,10/1/17,1283.1
385,10/2/17,1273.7
386,10/3/17,1271.25
387,10/4/17,1274.25
388,10/5/17,1274.5
389,10/6/17,1261.8
390,10/7/17,1261.8
391,10/8/17,1261.8
392,10/9/17,1278.75
393,10/10/17,1291.4
394,10/11/17,1289.25
395,10/12/17,1290.25
396,10/13/17,1299.6
397,10/14/17,1299.6
398,10/15/17,1299.6
399,10/16/17,1303.3
400,10/17/17,1284.75
401,10/18/17,1280.2
402,10/19/17,1286.4
403,10/20/17,1281.2
404,10/21/17,1281.2
405,10/22/17,1281.2
406,10/23/17,1274.9
407,10/24/17,1276.45
408,10/25/17,1275.0
409,10/26/17,1273.75
410,10/27/17,1266.45
411,10/28/17,1266.45
412,10/29/17,1266.45
413,10/30/17,1272.0
414,10/31/17,1270.15
415,11/1/17,1277.05
416,11/2/17,1279.2
417,11/3/17,1267.2
418,11/4/17,1267.2
419,11/5/17,1267.2
420,11/6/17,1270.9
421,11/7/17,1275.6
422,11/8/17,1284.0
423,11/9/17,1284.8
424,11/10/17,1284.3
425,11/11/17,1284.3
426,11/12/17,1284.3
427,11/13/17,1277.95
428,11/14/17,1274.6
429,11/15/17,1282.2
430,11/16/17,1280.0
431,11/17/17,1284.35
432,11/18/17,1284.35
433,11/19/17,1284.35
434,11/20/17,1286.2
435,11/21/17,1283.3
436,11/22/17,1286.95
437,11/23/17,1290.35
438,11/24/17,1290.5
439,11/25/17,1290.5
440,11/26/17,1290.5
441,11/27/17,1294.9
442,11/28/17,1291.85
443,11/29/17,1283.85
444,11/30/17,1280.2
445,12/1/17,1275.5
446,12/2/17,1275.5
447,12/3/17,1275.5
448,12/4/17,1273.45
449,12/5/17,1266.3
450,12/6/17,1263.7
451,12/7/17,1255.0
452,12/8/17,1250.65
453,12/9/17,1250.65
454,12/10/17,1250.65
455,12/11/17,1247.15
456,12/12/17,1240.9
457,12/13/17,1242.65
458,12/14/17,1251.0
459,12/15/17,1254.6
460,12/16/17,1254.6
461,12/17/17,1254.6
462,12/18/17,1260.6
463,12/19/17,1260.35
464,12/20/17,1264.55
465,12/21/17,1264.55
466,12/22/17,
467,12/23/17,
468,12/24/17,
469,12/25/17,
470,12/26/17,
471,12/27/17,1279.4
472,12/28/17,1291.0
473,12/29/17,
474,12/30/17,
475,12/31/17,
476,1/1/18,
477,1/2/18,1312.05
478,1/3/18,1314.9
479,1/4/18,1314.5
480,1/5/18,1317.15
481,1/6/18,1317.15
482,1/7/18,1317.15
483,1/8/18,1319.95
484,1/9/18,1311.0
485,1/10/18,1319.75
486,1/11/18,1323.05
487,1/12/18,1326.8
488,1/13/18,1326.8
489,1/14/18,1326.8
490,1/15/18,1339.25
491,1/16/18,1333.85
492,1/17/18,1335.65
493,1/18/18,1332.2
494,1/19/18,1334.95
495,1/20/18,1334.95
496,1/21/18,1334.95
497,1/22/18,1332.6
498,1/23/18,1333.4
499,1/24/18,1353.7
500,1/25/18,1354.95
501,1/26/18,1353.15
502,1/27/18,1353.15
503,1/28/18,1353.15
504,1/29/18,1343.85
505,1/30/18,1344.9
506,1/31/18,1345.05
507,2/1/18,1341.35
508,2/2/18,1331.15
509,2/3/18,1331.15
510,2/4/18,1331.15
511,2/5/18,1333.6
512,2/6/18,1331.4
513,2/7/18,1324.65
514,2/8/18,1315.45
515,2/9/18,1314.1
516,2/10/18,1314.1
517,2/11/18,1314.1
518,2/12/18,1322.3
519,2/13/18,1325.35
520,2/14/18,1336.25
521,2/15/18,1352.45
522,2/16/18,1352.1
523,2/17/18,1352.1
524,2/18/18,1352.1
525,2/19/18,1346.6
526,2/20/18,1339.85
527,2/21/18,1330.5
528,2/22/18,1328.35
529,2/23/18,1327.95
530,2/24/18,1327.95
531,2/25/18,1327.95
532,2/26/18,1333.5
533,2/27/18,1325.75
534,2/28/18,1317.85
535,3/1/18,1307.75
536,3/2/18,1322.3
537,3/3/18,1322.3
538,3/4/18,1322.3
539,3/5/18,1320.4
540,3/6/18,1331.4
541,3/7/18,1329.4
542,3/8/18,1321.0
543,3/9/18,1320.6
544,3/10/18,1320.6
545,3/11/18,1320.6
546,3/12/18,1319.15
547,3/13/18,1322.75
548,3/14/18,1323.55
549,3/15/18,1318.75
550,3/16/18,1310.1
551,3/17/18,1310.1
552,3/18/18,1310.1
553,3/19/18,1312.4
554,3/20/18,1311.0
555,3/21/18,1321.35
556,3/22/18,1329.15
557,3/23/18,1346.6
558,3/24/18,1346.6
559,3/25/18,1346.6
560,3/26/18,1352.4
561,3/27/18,1341.45
562,3/28/18,1332.45
563,3/29/18,1323.85
564,3/30/18,1323.85
565,3/31/18,1323.85
566,4/1/18,1323.85
567,4/2/18,1323.85
568,4/3/18,1333.45
569,4/4/18,1337.3
570,4/5/18,1327.7
571,4/6/18,1331.2
572,4/7/18,1331.2
573,4/8/18,1331.2
574,4/9/18,1331.95
575,4/10/18,1338.95
576,4/11/18,1350.75
577,4/12/18,1341.35
578,4/13/18,1343.7
579,4/14/18,1343.7
580,4/15/18,1343.7
581,4/16/18,1349.35
582,4/17/18,1342.1
583,4/18/18,1351.45
584,4/19/18,1348.6
585,4/20/18,1336.75
586,4/21/18,1336.75
587,4/22/18,1336.75
588,4/23/18,1324.3
589,4/24/18,1328.85
590,4/25/18,1321.65
591,4/26/18,1320.7
592,4/27/18,1321.5
593,4/28/18,1321.5
594,4/29/18,1321.5
595,4/30/18,1313.2
596,5/1/18,1307.1
597,5/2/18,1304.2
598,5/3/18,1315.05
599,5/4/18,1309.4
600,5/5/18,1309.4
601,5/6/18,1309.4
602,5/7/18,1309.4
603,5/8/18,1306.6
604,5/9/18,1313.85
605,5/10/18,1318.8
606,5/11/18,1324.35
607,5/12/18,1324.35
608,5/13/18,1324.35
609,5/14/18,1319.85
610,5/15/18,1295.0
611,5/16/18,1291.25
612,5/17/18,1289.5
613,5/18/18,1288.3
614,5/19/18,1288.3
615,5/20/18,1288.3
616,5/21/18,1288.35
617,5/22/18,1293.05
618,5/23/18,1289.0
619,5/24/18,1304.85
620,5/25/18,1303.5
621,5/26/18,1303.5
622,5/27/18,1303.5
623,5/28/18,1303.5
624,5/29/18,1295.5
625,5/30/18,1300.7
626,5/31/18,1305.35
627,6/1/18,1294.6
628,6/2/18,1294.6
629,6/3/18,1294.6
630,6/4/18,1295.45
631,6/5/18,1292.05
632,6/6/18,1300.1
633,6/7/18,1297.25
634,6/8/18,1298.25
635,6/9/18,1298.25
636,6/10/18,1298.25
637,6/11/18,1299.6
638,6/12/18,1298.65
639,6/13/18,1296.15
640,6/14/18,1302.75
641,6/15/18,1285.25
642,6/16/18,1285.25
643,6/17/18,1285.25
644,6/18/18,1281.55
645,6/19/18,1276.15
646,6/20/18,1274.2
647,6/21/18,1266.15
648,6/22/18,1269.15
649,6/23/18,1269.15
650,6/24/18,1269.15
651,6/25/18,1268.7
652,6/26/18,1260.3
653,6/27/18,1254.6
654,6/28/18,1251.55
655,6/29/18,1250.45
656,6/30/18,1250.45
657,7/1/18,1250.45
658,7/2/18,1247.8
659,7/3/18,1251.75
660,7/4/18,1255.65
661,7/5/18,1255.5
662,7/6/18,1255.35
663,7/7/18,1255.35
664,7/8/18,1255.35
665,7/9/18,1262.05
666,7/10/18,1254.0
667,7/11/18,1251.4
668,7/12/18,1245.9
669,7/13/18,1241.7
670,7/14/18,1241.7
671,7/15/18,1241.7
672,7/16/18,1241.1
673,7/17/18,1232.8
674,7/18/18,1224.5
675,7/19/18,1217.55
676,7/20/18,1228.75
677,7/21/18,1228.75
678,7/22/18,1228.75
679,7/23/18,1224.95
680,7/24/18,1228.35
681,7/25/18,1231.5
682,7/26/18,1228.25
683,7/27/18,1223.95
684,7/28/18,1223.95
685,7/29/18,1223.95
686,7/30/18,1223.8
687,7/31/18,1220.95
688,8/1/18,1219.0
689,8/2/18,1215.45
690,8/3/18,1216.3
691,8/4/18,1216.3
692,8/5/18,1216.3
693,8/6/18,1209.65
694,8/7/18,1212.35
695,8/8/18,1209.55
696,8/9/18,1214.35
697,8/10/18,1214.4
698,8/11/18,1214.4
699,8/12/18,1214.4
700,8/13/18,1200.35
701,8/14/18,1197.0
702,8/15/18,1182.0
703,8/16/18,1180.4
704,8/17/18,1178.4
705,8/18/18,1178.4
706,8/19/18,1178.4
707,8/20/18,1184.35
708,8/21/18,1190.95
709,8/22/18,1196.65
710,8/23/18,1192.35
711,8/24/18,1197.7
712,8/25/18,1197.7
713,8/26/18,1197.7
714,8/27/18,1197.7
715,8/28/18,1212.25
716,8/29/18,1204.2
717,8/30/18,1197.3
718,8/31/18,1202.45
719,9/1/18,1202.45
720,9/2/18,1202.45
721,9/3/18,1200.05
722,9/4/18,1190.85
723,9/5/18,1196.7
724,9/6/18,1205.15
725,9/7/18,1198.9
726,9/8/18,1198.9
727,9/9/18,1198.9
728,9/10/18,1196.6
729,9/11/18,1189.85
730,9/12/18,1195.6
731,9/13/18,1209.8
732,9/14/18,1201.95
733,9/15/18,1201.95
734,9/16/18,1201.95
735,9/17/18,1201.9
736,9/18/18,1200.2
737,9/19/18,1203.3
738,9/20/18,1208.35
739,9/21/18,1198.7
740,9/22/18,1198.7
741,9/23/18,1198.7
742,9/24/18,1202.75
743,9/25/18,1201.9
744,9/26/18,1194.25
745,9/27/18,1185.4
746,9/28/18,1187.25
747,9/29/18,1187.25
748,9/30/18,1187.25
749,10/1/18,1189.35
750,10/2/18,1204.7
751,10/3/18,1201.2
752,10/4/18,1203.45
753,10/5/18,1203.8
754,10/6/18,1203.8
755,10/7/18,1203.8
756,10/8/18,1186.95
757,10/9/18,1185.55
758,10/10/18,1188.6
759,10/11/18,1205.55
760,10/12/18,1219.75
761,10/13/18,1219.75
762,10/14/18,1219.75
763,10/15/18,1229.95
764,10/16/18,1230.7
765,10/17/18,1229.05
766,10/18/18,1223.0
767,10/19/18,1227.85
768,10/20/18,1227.85
769,10/21/18,1227.85
770,10/22/18,1222.3
771,10/23/18,1235.95
772,10/24/18,1230.55
773,10/25/18,1230.8
774,10/26/18,1233.85
775,10/27/18,1233.85
776,10/28/18,1233.85
777,10/29/18,1230.8
778,10/30/18,1225.4
779,10/31/18,1214.95
780,11/1/18,1231.15
781,11/2/18,1232.1
782,11/3/18,1232.1
783,11/4/18,1232.1
784,11/5/18,1232.25
785,11/6/18,1231.6
786,11/7/18,1229.95
787,11/8/18,1224.15
788,11/9/18,1211.4
789,11/10/18,1211.4
790,11/11/18,1211.4
791,11/12/18,1205.55
792,11/13/18,1202.1
793,11/14/18,1203.25
794,11/15/18,1211.85
795,11/16/18,1222.4
796,11/17/18,1222.4
797,11/18/18,1222.4
798,11/19/18,1221.6
799,11/20/18,1223.0
800,11/21/18,1226.1
801,11/22/18,1227.05
802,11/23/18,1223.65
803,11/24/18,1223.65
804,11/25/18,1223.65
805,11/26/18,1223.4
806,11/27/18,1221.2
807,11/28/18,1213.25
808,11/29/18,1226.25
809,11/30/18,1217.55
810,12/1/18,1217.55
811,12/2/18,1217.55
812,12/3/18,1230.3
813,12/4/18,1240.3
814,12/5/18,1235.9
815,12/6/18,1242.55
816,12/7/18,1243.3
817,12/8/18,1243.3
818,12/9/18,1243.3
819,12/10/18,1245.35
820,12/11/18,1245.3
821,12/12/18,1245.75
822,12/13/18,1242.75
823,12/14/18,1235.35
824,12/15/18,1235.35
825,12/16/18,1235.35
826,12/17/18,1241.65
827,12/18/18,1246.3
828,12/19/18,1255.0
829,12/20/18,1259.75
830,12/21/18,1258.15
831,12/22/18,1258.15
832,12/23/18,1258.15
833,12/24/18,
834,12/25/18,
835,12/26/18,
836,12/27/18,1268.0
837,12/28/18,1279.0
838,12/29/18,1279.0
839,12/30/18,1279.0
840,12/31/18,
841,1/1/19,
842,1/2/19,1282.9
843,1/3/19,1290.45
844,1/4/19,1279.9
845,1/5/19,1279.9
846,1/6/19,1279.9
847,1/7/19,1292.2
848,1/8/19,1286.45
849,1/9/19,1288.6
850,1/10/19,1291.9
851,1/11/19,1288.95
852,1/12/19,1288.95
853,1/13/19,1288.95
854,1/14/19,1292.75
855,1/15/19,1294.4
856,1/16/19,1292.3
857,1/17/19,1290.7
858,1/18/19,1284.2
859,1/19/19,1284.2
860,1/20/19,1284.2
861,1/21/19,1279.55
862,1/22/19,1282.1
863,1/23/19,1279.8
864,1/24/19,1283.7
865,1/25/19,1293.9
866,1/26/19,1293.9
867,1/27/19,1293.9
868,1/28/19,1302.15
869,1/29/19,1307.55
870,1/30/19,1310.7
871,1/31/19,1323.25
872,2/1/19,1318.7
873,2/2/19,1318.7
874,2/3/19,1318.7
875,2/4/19,1312.15
876,2/5/19,1314.2
877,2/6/19,1312.4
878,2/7/19,1310.0
879,2/8/19,1314.85
880,2/9/19,1314.85
881,2/10/19,1314.85
882,2/11/19,1306.4
883,2/12/19,1310.0
884,2/13/19,1312.8
885,2/14/19,1311.45
886,2/15/19,1316.55
887,2/16/19,1316.55
888,2/17/19,1316.55
889,2/18/19,1325.5
890,2/19/19,1334.15
891,2/20/19,1343.75
892,2/21/19,1331.25
893,2/22/19,1329.05
894,2/23/19,1329.05
895,2/24/19,1329.05
896,2/25/19,1331.05
897,2/26/19,1325.05
898,2/27/19,1322.85
899,2/28/19,1319.15
900,3/1/19,1311.95
901,3/2/19,1311.95
902,3/3/19,1311.95
903,3/4/19,1285.4
904,3/5/19,1283.8
905,3/6/19,1285.85
906,3/7/19,1285.3
907,3/8/19,1296.75
908,3/9/19,1296.75
909,3/10/19,1296.75
910,3/11/19,1292.75
911,3/12/19,1297.05
912,3/13/19,1306.95
913,3/14/19,1295.55
914,3/15/19,1303.5
915,3/16/19,1303.5
916,3/17/19,1303.5
917,3/18/19,1305.6
918,3/19/19,1307.7
919,3/20/19,1303.7
920,3/21/19,1309.6
921,3/22/19,1311.3
922,3/23/19,1311.3
923,3/24/19,1311.3
924,3/25/19,1319.55
925,3/26/19,1316.3
926,3/27/19,1309.7
927,3/28/19,1295.15
928,3/29/19,1295.4
929,3/30/19,1295.4
930,3/31/19,1295.4
931,4/1/19,1293.5
932,4/2/19,1290.3
933,4/3/19,1290.45
934,4/4/19,1283.15
935,4/5/19,1288.45
936,4/6/19,1288.45
937,4/7/19,1288.45
938,4/8/19,1300.0
939,4/9/19,1303.0
940,4/10/19,1305.45
941,4/11/19,1298.8
942,4/12/19,1294.3
943,4/13/19,1294.3
944,4/14/19,1294.3
945,4/15/19,1285.65
946,4/16/19,1276.35
947,4/17/19,1275.85
948,4/18/19,1275.7
949,4/19/19,1275.7
950,4/20/19,1275.7
951,4/21/19,1275.7
952,4/22/19,1275.7
953,4/23/19,1269.5
954,4/24/19,1271.65
955,4/25/19,1280.8
956,4/26/19,1284.2
957,4/27/19,1284.2
958,4/28/19,1284.2
959,4/29/19,1279.5
960,4/30/19,1282.3
961,5/1/19,1283.8
962,5/2/19,1270.95
963,5/3/19,1278.55
964,5/4/19,1278.55
965,5/5/19,1278.55
966,5/6/19,1278.55
967,5/7/19,1281.2
968,5/8/19,1285.2
969,5/9/19,1286.1
970,5/10/19,1287.1
971,5/11/19,1287.1
972,5/12/19,1287.1
973,5/13/19,1295.6
974,5/14/19,1298.4
975,5/15/19,1299.1
976,5/16/19,1291.7
977,5/17/19,1280.8
978,5/18/19,1280.8
979,5/19/19,1280.8
980,5/20/19,1276.85
981,5/21/19,1271.15
982,5/22/19,1273.8
983,5/23/19,1283.65
984,5/24/19,1282.5
985,5/25/19,1282.5
986,5/26/19,1282.5
987,5/27/19,1282.5
988,5/28/19,1278.3
989,5/29/19,1281.65
990,5/30/19,1280.95
991,5/31/19,1295.55
992,6/1/19,1295.55
993,6/2/19,1295.55
994,6/3/19,1317.1
995,6/4/19,1324.25
996,6/5/19,1335.05
997,6/6/19,1335.5
998,6/7/19,1340.65
999,6/8/19,1340.65
1000,6/9/19,1340.65
1001,6/10/19,1328.6
1002,6/11/19,1324.3
1003,6/12/19,1332.35
1004,6/13/19,1335.9
1005,6/14/19,1351.25
1006,6/15/19,1351.25
1007,6/16/19,1351.25
1008,6/17/19,1341.3
1009,6/18/19,1341.35
1010,6/19/19,1344.05
1011,6/20/19,1379.5
1012,6/21/19,1397.15
1013,6/22/19,1397.15
1014,6/23/19,1397.15
1015,6/24/19,1405.7
1016,6/25/19,1431.4
1017,6/26/19,1403.95
1018,6/27/19,1402.5
1019,6/28/19,1409.0
1020,6/29/19,1409.0
1021,6/30/19,1409.0
1022,7/1/19,1390.1
1023,7/2/19,1391.05
1024,7/3/19,1413.5
1025,7/4/19,1414.9
1026,7/5/19,1388.65
1027,7/6/19,1388.65
1028,7/7/19,1388.65
1029,7/8/19,1400.1
1030,7/9/19,1391.55
1031,7/10/19,1408.3
1032,7/11/19,1413.75
1033,7/12/19,1407.6
1034,7/13/19,1407.6
1035,7/14/19,1407.6
1036,7/15/19,1412.4
1037,7/16/19,1409.85
1038,7/17/19,1410.35
1039,7/18/19,1417.45
1040,7/19/19,1439.7
1041,7/20/19,1439.7
1042,7/21/19,1439.7
1043,7/22/19,1427.75
1044,7/23/19,1425.55
1045,7/24/19,1426.95
1046,7/25/19,1416.1
1047,7/26/19,1420.4
1048,7/27/19,1420.4
1049,7/28/19,1420.4
1050,7/29/19,1419.05
1051,7/30/19,1425.9
1052,7/31/19,1427.55
1053,8/1/19,1406.8
1054,8/2/19,1441.75
1055,8/3/19,1441.75
1056,8/4/19,1441.75
1057,8/5/19,1465.25
1058,8/6/19,1465.25
1059,8/7/19,1506.05
1060,8/8/19,1495.75
1061,8/9/19,1497.7
1062,8/10/19,1497.7
1063,8/11/19,1497.7
1064,8/12/19,1504.7
1065,8/13/19,1498.4
1066,8/14/19,1513.25
1067,8/15/19,1515.65
1068,8/16/19,1515.25
1069,8/17/19,1515.25
1070,8/18/19,1515.25
1071,8/19/19,1496.6
1072,8/20/19,1504.55
1073,8/21/19,1503.25
1074,8/22/19,1502.05
1075,8/23/19,1503.8
